0.1 : xiii
0.2 : xiii,xiv
0.3 : xiv,xv
0.4 : xv
0.5 : xv,xvi
0.6 : xvi
0.7 : xvi,xvii
0.8 : xvii
0.9 : xvii,xviii
0.10 : xviii,xix
0.7n1 : xvii
1.3.7.6 : 97
1.3.7.7 : 628,629
1.3.7.8 : 97,98
1.3.7.5n20 : 96,97
1.3.8.1 : 98
1.3.8.2 : 98,99
1.3.8.3 : 99
1.3.8.4 : 99,100
1.3.8.5 : 100
1.3.8.6 : 100,101
1.3.8.7 : 101
1.3.8.8 : 101,102
1.3.8.9 : 102
1.3.8.10 : 102,103
1.3.8.11 : 103
1.3.8.12 : 103
1.3.8.13 : 103,104
1.3.8.14 : 104,105
1.3.8.15 : 105,106
1.3.8.16 : 106
1.3.8.17 : 106
1.3.8.5n21 : 630
1.3.9.1 : 106,107
1.3.9.2 : 107
1.3.9.3 : 107,108
1.3.9.4 : 108
1.3.9.5 : 109
1.3.9.6 : 109,110
1.3.9.7 : 110
1.3.9.8 : 110
1.3.9.9 : 110,111
1.3.9.10 : 111,112
1.3.9.11 : 112
1.3.9.12 : 112,113
1.3.9.13 : 113,114
1.3.9.14 : 114,115
1.3.9.15 : 115
1.3.9.16 : 115,116
1.3.9.17 : 116
1.3.9.18 : 117
1.3.9.19 : 117
1.3.9.19n22 : 117,118
1.3.10.1 : 118
1.3.10.2 : 118,119
1.3.10.3 : 119,120
1.3.10.4 : 120
1.3.10.5 : 120,121
1.3.10.6 : 121,122
1.3.10.7 : 122
1.3.10.8 : 122,123
1.3.10.9 : 123
1.3.10.10 : 123
1.3.10.11 : 631,632
1.3.10.12 : 632
1.3.11.1 : 124
1.3.11.2 : 124
1.3.11.3 : 124,125
1.3.11.4 : 125
1.3.11.5 : 125
1.3.11.6 : 125,126
1.3.11.7 : 126,127
1.3.11.8 : 127
1.3.11.9 : 127,128
1.3.11.10 : 128
1.3.11.11 : 128
1.3.11.12 : 128,129
1.3.11.13 : 129,130
1.3.12.1 : 130
1.3.12.2 : 130,131
1.3.12.3 : 131
1.3.12.4 : 131
1.3.12.5 : 132
1.3.12.6 : 132,133
1.3.12.7 : 133
1.3.12.8 : 133,134
1.3.12.9 : 134
1.3.12.10 : 134
1.3.12.11 : 134,135
1.3.12.12 : 135
1.3.12.13 : 135
1.3.12.14 : 135
1.3.12.15 : 136
1.3.12.16 : 136
1.3.12.17 : 136,137
1.3.12.18 : 137
1.3.12.19 : 137,138
1.3.12.20 : 138,139
1.3.12.21 : 139
1.3.12.22 : 139,140
1.3.12.23 : 140,141
1.3.12.24 : 141,142
1.3.12.25 : 142
1.3.12.23n23 : 140
1.3.13.1 : 143
1.3.13.2 : 143,144
1.3.13.3 : 144
1.3.13.4 : 144,145
1.3.13.5 : 145,146
1.3.13.6 : 146
1.3.13.7 : 146,147
1.3.13.8 : 147
1.3.13.9 : 147,148
1.3.13.10 : 148,149
1.3.13.11 : 149
1.3.13.12 : 149,150
1.3.13.13 : 150,151
1.3.13.14 : 151
1.3.13.15 : 151,152
1.3.13.16 : 152
1.3.13.17 : 152,153
1.3.13.18 : 153
1.3.13.19 : 153,154
1.3.13.20 : 154,155
1.3.13.5n24 : 146
1.3.13.11n25 : 149
1.3.13.17n26 : 153
1.3.14.1 : 155,156
1.3.14.2 : 156
1.3.14.3 : 156
1.3.14.4 : 157
1.3.14.5 : 157
1.3.14.6 : 157,158
1.3.14.7 : 158,159
1.3.14.8 : 159
1.3.14.9 : 159
1.3.14.10 : 160
1.3.14.11 : 160,161
1.3.14.12 : 632,633
1.3.14.13 : 161,162
1.3.14.14 : 162
1.3.14.15 : 162
1.3.14.16 : 163
1.3.14.17 : 163,164
1.3.14.18 : 164
1.3.14.19 : 164
1.3.14.20 : 164,165
1.3.14.21 : 165
1.3.14.22 : 165,166
