xiii : 0.1,0.2
xiv : 0.2,0.3
xv : 0.3,0.4,0.5
xvi : 0.5,0.6,0.7
xvii : 0.7,0.8,0.9,0.7n1
xviii : 0.9,0.10
xix : 0.10
98 : 1.3.7.8,1.3.8.1,1.3.8.2
99 : 1.3.8.2,1.3.8.3,1.3.8.4
100 : 1.3.8.4,1.3.8.5,1.3.8.6
101 : 1.3.8.6,1.3.8.7,1.3.8.8
102 : 1.3.8.8,1.3.8.9,1.3.8.10
103 : 1.3.8.10,1.3.8.11,1.3.8.12,1.3.8.13
104 : 1.3.8.13,1.3.8.14
105 : 1.3.8.14,1.3.8.15
106 : 1.3.8.15,1.3.8.16,1.3.8.17,1.3.9.1
630 : 1.3.8.5n21
107 : 1.3.9.1,1.3.9.2,1.3.9.3
108 : 1.3.9.3,1.3.9.4
109 : 1.3.9.5,1.3.9.6
110 : 1.3.9.6,1.3.9.7,1.3.9.8,1.3.9.9
111 : 1.3.9.9,1.3.9.10
112 : 1.3.9.10,1.3.9.11,1.3.9.12
113 : 1.3.9.12,1.3.9.13
114 : 1.3.9.13,1.3.9.14
115 : 1.3.9.14,1.3.9.15,1.3.9.16
116 : 1.3.9.16,1.3.9.17
117 : 1.3.9.18,1.3.9.19,1.3.9.19n22
118 : 1.3.9.19n22,1.3.10.1,1.3.10.2
119 : 1.3.10.2,1.3.10.3
120 : 1.3.10.3,1.3.10.4,1.3.10.5
121 : 1.3.10.5,1.3.10.6
122 : 1.3.10.6,1.3.10.7,1.3.10.8
123 : 1.3.10.8,1.3.10.9,1.3.10.10
631 : 1.3.10.11
632 : 1.3.10.11,1.3.10.12,1.3.14.12
124 : 1.3.11.1,1.3.11.2,1.3.11.3
125 : 1.3.11.3,1.3.11.4,1.3.11.5,1.3.11.6
126 : 1.3.11.6,1.3.11.7
127 : 1.3.11.7,1.3.11.8,1.3.11.9
128 : 1.3.11.9,1.3.11.10,1.3.11.11,1.3.11.12
129 : 1.3.11.12,1.3.11.13
130 : 1.3.11.13,1.3.12.1,1.3.12.2
131 : 1.3.12.2,1.3.12.3,1.3.12.4
132 : 1.3.12.5,1.3.12.6
133 : 1.3.12.6,1.3.12.7,1.3.12.8
134 : 1.3.12.8,1.3.12.9,1.3.12.10,1.3.12.11
135 : 1.3.12.11,1.3.12.12,1.3.12.13,1.3.12.14
136 : 1.3.12.15,1.3.12.16,1.3.12.17
137 : 1.3.12.17,1.3.12.18,1.3.12.19
138 : 1.3.12.19,1.3.12.20
139 : 1.3.12.20,1.3.12.21,1.3.12.22
140 : 1.3.12.22,1.3.12.23,1.3.12.23n23
141 : 1.3.12.23,1.3.12.24
142 : 1.3.12.24,1.3.12.25
143 : 1.3.13.1,1.3.13.2
144 : 1.3.13.2,1.3.13.3,1.3.13.4
145 : 1.3.13.4,1.3.13.5
146 : 1.3.13.5,1.3.13.6,1.3.13.7,1.3.13.5n24
147 : 1.3.13.7,1.3.13.8,1.3.13.9
148 : 1.3.13.9,1.3.13.10
149 : 1.3.13.10,1.3.13.11,1.3.13.12,1.3.13.11n25
150 : 1.3.13.12,1.3.13.13
151 : 1.3.13.13,1.3.13.14,1.3.13.15
152 : 1.3.13.15,1.3.13.16,1.3.13.17
153 : 1.3.13.17,1.3.13.18,1.3.13.19,1.3.13.17n26
154 : 1.3.13.19,1.3.13.20
155 : 1.3.13.20,1.3.14.1,1.3.14.1n27
156 : 1.3.14.1,1.3.14.2,1.3.14.3
157 : 1.3.14.4,1.3.14.5,1.3.14.6,1.3.14.5n28
158 : 1.3.14.6,1.3.14.7,1.3.14.7n29
159 : 1.3.14.7,1.3.14.8,1.3.14.9
160 : 1.3.14.10,1.3.14.11
161 : 1.3.14.11,1.3.14.13
633 : 1.3.14.12,1.3.14.12n30,App.10,App.11
162 : 1.3.14.13,1.3.14.14,1.3.14.15
163 : 1.3.14.16,1.3.14.17,1.3.14.17n31
164 : 1.3.14.17,1.3.14.18,1.3.14.19,1.3.14.20
165 : 1.3.14.20,1.3.14.21,1.3.14.22
166 : 1.3.14.22,1.3.14.23,1.3.14.24
167 : 1.3.14.24,1.3.14.25,1.3.14.26,1.3.14.25n32
168 : 1.3.14.26,1.3.14.27,1.3.14.28
169 : 1.3.14.28,1.3.14.29,1.3.14.30,1.3.14.31
170 : 1.3.14.31,1.3.14.32
171 : 1.3.14.32,1.3.14.33,1.3.14.34
172 : 1.3.14.35,1.3.14.36
173 : 1.3.15.1,1.3.15.2,1.3.15.3,1.3.15.4,1.3.15.5,1.3.15.6,1.3.15.1n33
174 : 1.3.15.6,1.3.15.7,1.3.15.8,1.3.15.9,1.3.15.10
175 : 1.3.15.10,1.3.15.11,1.3.15.12
176 : 1.3.15.12,1.3.16.1,1.3.16.2,1.3.16.3
177 : 1.3.16.3,1.3.16.4,1.3.16.5,1.3.16.6
178 : 1.3.16.6,1.3.16.7,1.3.16.8,1.3.16.9
179 : 1.3.16.9
180 : 1.4.1.1,1.4.1.2
181 : 1.4.1.2,1.4.1.3,1.4.1.4,1.4.1.5
182 : 1.4.1.5,1.4.1.6
183 : 1.4.1.6,1.4.1.7,1.4.1.8
184 : 1.4.1.8,1.4.1.9
185 : 1.4.1.9,1.4.1.10,1.4.1.11
186 : 1.4.1.11,1.4.1.12
187 : 1.4.1.12,1.4.2.1,1.4.2.2
188 : 1.4.2.2,1.4.2.3,1.4.2.2n34
189 : 1.4.2.3,1.4.2.4,1.4.2.5,1.4.2.6
190 : 1.4.2.6,1.4.2.7,1.4.2.8,1.4.2.9
191 : 1.4.2.9,1.4.2.10,1.4.2.11,1.4.2.9n35
192 : 1.4.2.11,1.4.2.12,1.4.2.13
193 : 1.4.2.13,1.4.2.14
194 : 1.4.2.15,1.4.2.16,1.4.2.17,1.4.2.18
195 : 1.4.2.18,1.4.2.19,1.4.2.20
196 : 1.4.2.20
197 : 1.4.2.20,1.4.2.21
198 : 1.4.2.21,1.4.2.22,1.4.2.23,1.4.2.22n36
199 : 1.4.2.23,1.4.2.24,1.4.2.25
200 : 1.4.2.25,1.4.2.26,1.4.2.27,1.4.2.28,1.4.2.29,1.4.2.29n37
201 : 1.4.2.29,1.4.2.30,1.4.2.31
202 : 1.4.2.31,1.4.2.32,1.4.2.32n38
203 : 1.4.2.32,1.4.2.33,1.4.2.34,1.4.2.35n39
204 : 1.4.2.34,1.4.2.35,1.4.2.35n39
205 : 1.4.2.36,1.4.2.37
206 : 1.4.2.37,1.4.2.38,1.4.2.37n40
207 : 1.4.2.38,1.4.2.39,1.4.2.40
208 : 1.4.2.40,1.4.2.41,1.4.2.42
209 : 1.4.2.42,1.4.2.43
210 : 1.4.2.43,1.4.2.44,1.4.2.45
211 : 1.4.2.45,1.4.2.46
212 : 1.4.2.46,1.4.2.47,1.4.2.48
213 : 1.4.2.48,1.4.2.49,1.4.2.50
214 : 1.4.2.50,1.4.2.51,1.4.2.52
215 : 1.4.2.52
216 : 1.4.2.52,1.4.2.53,1.4.2.54
217 : 1.4.2.55,1.4.2.56,1.4.2.55n41
218 : 1.4.2.56,1.4.2.57
219 : 1.4.3.1,1.4.3.2
220 : 1.4.3.3,1.4.3.4
221 : 1.4.3.5,1.4.3.6
222 : 1.4.3.6,1.4.3.7,1.4.3.8,1.4.3.9
223 : 1.4.3.9
224 : 1.4.3.10,1.4.3.11
225 : 1.4.3.11,1.4.4.1
226 : 1.4.4.1,1.4.4.2,1.4.4.3
227 : 1.4.4.4,1.4.4.5,1.4.4.6
228 : 1.4.4.6,1.4.4.7,1.4.4.8,1.4.4.9
229 : 1.4.4.9,1.4.4.10,1.4.4.11,1.4.4.11n42
230 : 1.4.4.11,1.4.4.12,1.4.4.13,1.4.4.14
231 : 1.4.4.14,1.4.4.15
232 : 1.4.5.1,1.4.5.2,1.4.5.3
233 : 1.4.5.3,1.4.5.4,1.4.5.5
234 : 1.4.5.6,1.4.5.7
235 : 1.4.5.7,1.4.5.8,1.4.5.9,1.4.5.10
236 : 1.4.5.10,1.4.5.11,1.4.5.11n43
237 : 1.4.5.11,1.4.5.12,1.4.5.12n44
238 : 1.4.5.12,1.4.5.13,1.4.5.14
239 : 1.4.5.14,1.4.5.15
240 : 1.4.5.15,1.4.5.16,1.4.5.17,1.4.5.18
241 : 1.4.5.18,1.4.5.19,1.4.5.20,1.4.5.19n45
242 : 1.4.5.20,1.4.5.21,1.4.5.20n46
243 : 1.4.5.21,1.4.5.22,1.4.5.23,1.4.5.22n47
244 : 1.4.5.23,1.4.5.24,1.4.5.25,1.4.5.26
245 : 1.4.5.26,1.4.5.27
246 : 1.4.5.27,1.4.5.28,1.4.5.29
247 : 1.4.5.29,1.4.5.30,1.4.5.30n48
248 : 1.4.5.30,1.4.5.31
249 : 1.4.5.31,1.4.5.32,1.4.5.31n49
250 : 1.4.5.32,1.4.5.33,1.4.5.34,1.4.5.35
251 : 1.4.5.35,1.4.6.1,1.4.6.2
252 : 1.4.6.2,1.4.6.3,1.4.6.4
253 : 1.4.6.4,1.4.6.5,1.4.6.6
254 : 1.4.6.6,1.4.6.6n50
255 : 1.4.6.6,1.4.6.7,1.4.6.8
