,GARHSA,ZINTUT,GARITS-2,BUTTSA-3,KAIPAR,PIKHBT,GRETIO-4,NATHST,PEAHOP-2,RUSFS-3,MCIHAT-2,INUJAT,ELLTCO-4,AMIAHA,ROTWWH,PAPPOT-2,STRTEC-2,LYBCHS,FRASAT-13,HATHSA,NOOTSA-2,PURHPO-3,MATTHB,GRETSA-6,AINPAR,NOOAPH,RICCOT-11,BIRHOS,MCISGA,BRIPTT,COVROT-2,AINTPO,EPIHPO,FLAHPO-4,SCHIHA-3,SCAWWH-2,STRTEC,ROTTEC,WAXHQC,PEAHRO,COVROP,ASHHTO,DUSDHD,AINSAP-2,WINPKP,ROTHAJ,PITTEC,STOPAR,TOMCIH,FALSAT-3,HENDHO,GILTNT,CLACAH,KAIPOP-2,YANHVO,LOERPJ,LEVBHW-2,PATHBS,MELHAO,GAROMI-3,WARCSA-3,PENTSI,LOECER,WINAIR,PITSRA-2,PERHYL,COTMCA-2,ROCICH,AINRHA,ROCHAT-4,IRATIH,PENHOP-2,INUHLT,LESRCO,ROMFYY-2,SCHROH-5,KAIOHA-2,SPELTT,PURTMS,HUMHIS,BUCPAR,MURWIT,PENTIH,SIRTCO,ROBHOP,THITEM,STRAMH-2,CARTIJ,MENPIT,PENHTO,1173780,SWAPIA-2,DAVHOP,PENTSO-2,FLAHOT,MCIFRO,SWABSO,GALTTO-3,MIJHAS,SCHHOT-7
1.2.3,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,1.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,1.0070000000000003,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,1.0070000000000003,0.0,1.0070000000000003,0.0,3.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,8.027,0.0,0.0,0,0,0.0,0,0.0,1.0070000000000003,0.0,0.0,0,0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0,0.0
1.2.4,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.9990000000000001,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,12.5,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0,0,0.0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
1.2.5,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2.0,0.0,0,0,0.0,1.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,4.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,2.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.9900000000000007,0.0,4.0,2.0,1.0,0.0,0.0,1.0,0,0,0.0,0.0,0,0.0,3.0,0.0,0.0,0.0,0,0,0.9900000000000007,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
1.2.6,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,0,0,0.0,1.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,2.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,1.002,0.0,0,0,0.0,0.0,0,0.0,0.0,2.0,5.0,2.0,0.0,0.0,1.0,0,0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0,0,1.001,0,2.998000000000001,0.0,0.0,0.0,0,0,0.0,0.0,1.002,1.0,0.9990000000000001,0,0.0,0.0,0,0.0
1.3.1,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,2.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,2.0,1.1679999999999997,0.0,0.0,0,0,0.0,0,0.5,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
1.3.2,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,1.0029999999999994,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,1.0029999999999994,1.0,3.001999999999999,13.014999999999997,0.0,13.0,0,0,0.0,0.0,0,0.0,1.0,2.005999999999999,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
1.3.3,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,2.988000000000001,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
1.3.4,0.778,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
1.3.5,1.221,0,0.0,0,0.0,0,0,0,0.0,0,0.0,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,1.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
1.3.6,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,4.0,0.0,0.0,0,0.0,0,0,0.9920000000000004,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.000000000000001,0,0,1.0,0.0,0,0.0,0.0,1.001,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
1.3.7,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,1.5,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
1.3.8,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,4.008,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.9990000000000001,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,1.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.5,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.9990000000000001,1.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,2.0080000000000005,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
1.3.9,0.0,0,0.0,0,0.0,0,0,0,0.0,0,3.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,1.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
1.3.10,0.0,0,0.0,0,0.0,0,0,0,0.0,0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,1.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.25199999999999995,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
1.3.11,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.27299999999999996,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
1.3.12,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,1.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,0.0,0.0,0.5460000000000002,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
1.3.13,0.0,0,0.2,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,2.0010000000000003,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.9890000000000003,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,1.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.48300000000000015,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
1.3.14,0.5,0,0.0,0,1.0,0,0,0,0.0,0,2.0,3.0,2.016000000000001,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,3.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,37.034000000000006,0.0,1.0080000000000005,0,1.0,0,0,0.0,9.016000000000002,0.0,0.0,0,0,0,0.0,0,0,0,0,4.008,0.0,0,0,5.0,0.0,0,8.056000000000004,2.0,5.998999999999998,1.0,9.0,0.0,0.0,2.0080000000000005,0,0,1.9939999999999996,0.0,0,0.5,7.0,4.875999999999997,0.624,2.0,0,0,0.0,0,3.9979999999999998,0.0,6.032000000000002,0.0,0,0,0.0,6.0,0.0,0.0,0.0,0,1.5,0.0,0,0.0
1.3.15,0.9969999999999999,0,0.654,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,5.999999999999999,0.0,0.0,0,0.0,0,0,1.001,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.249,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.001,0.0,0,0,0.0,0.0,0,0.0,0.0,0.27299999999999996,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,1.001,0.0,0.0,0.0,0,0.0,0.0,0,0.0
1.3.16,0.0,0,0.15000000000000002,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,3.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.999,0.0,0.0,0.0,0.0,0.0,0.0,0.999,0,0,0.0,0.0,0,0.0,0.0,0.18899999999999997,0.0,0.0,0,0,0.0,0,0.0,0.0,2.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
1.4.1,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.333,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,5.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
1.4.2,0.998,0,0.0,0,3.0,0,0,0,0.0,0,8.901000000000007,0.0,4.924999999999997,0,2.9249999999999976,0.0,0,0.0,0.0,0.0,12.0,0,0,3.0,0.9750000000000008,0,0,0.0,0.0,0.0,0,0.0,0,0.9750000000000008,0,0.0,42.32699999999995,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,2.0,0,0,0,0.666,0,0,0,0,7.953000000000002,1.0,0,0,0.0,1.0,0,0.9750000000000008,3.9990000000000006,15.923999999999996,6.0,22.001000000000012,56.200999999999915,2.974999999999997,45.932000000000066,0,0,4.974999999999995,0.0,0,0.0,1.0,14.95699999999999,0.0,2.0010000000000003,0,0,6.825000000000011,0,2.9970000000000008,2.9249999999999976,8.900000000000004,1.0,0,0,7.952000000000007,2.0,1.9980000000000002,0.9990000000000001,0.0,0,1.9989999999999999,0.0,0,0.0
1.4.3,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,3.003000000000001,0.0,0,0.0,0.0,0.0,2.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,1.001,0,0.0,4.501,0.0,0.0,0,0.0,0,0,1.001,0.0,0.0,1.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,3.0,0.0,2.0,0.0,2.001,6.003,0,0,2.001,0.0,0,0.0,6.001,2.001,0.0,1.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,3.003000000000001,2.0,0.0,0.0,0.0,0,15.0,0.0,0,0.0
1.4.4,0.0,0,0.0,0,0.0,0,0,0,0.0,0,1.9920000000000004,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,3.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,1.0,0,0.0,2.0,0.0,0.0,0,0.0,0,0,0.0,2.0,0.0,0.0,0,0,0,0.0,0,0,0,0,3.984000000000001,0.0,0,0,0.0,0.0,0,0.0,0.0,0.9920000000000004,0.0,0.0,0.0,0.0,1.0049999999999997,0,0,0.0,0.0,0,0.0,0.0,2.984000000000001,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
1.4.5,1.666,0,0.0,0,3.0,0,0,0,0.0,0,24.12600000000002,1.0,5.032000000000004,0,0.0,0.333,0,0.0,0.9990000000000001,0.0,9.0,0,0,3.008000000000001,1.0,0,0,0.0,6.016000000000002,0.0,0,0.0,0,0.0,0,0.0,42.027000000000015,0.0,0.0,0,0.0,0,0,0.0,0.0,0.111,2.0,0,0,0,0.333,0,0,0,0,0.9990000000000001,0.0,0,0,4.008000000000001,0.0,0,1.0080000000000005,3.999,17.015999999999988,2.0080000000000005,4.0,1.0,0.0,1.0150000000000006,0,0,1.0,0.0,0,0.0,2.0080000000000005,5.016000000000002,0.111,1.999,0,0,0.0,0,3.8310000000000004,8.064000000000004,1.0080000000000005,0.0,0,0,3.0,3.0,1.333,0.0,13.001,0,4.014000000000001,0.0,0,0.666
1.4.6,5.330000000000001,0,0.0,0,19.008000000000003,0,0,0,0.0,0,24.079000000000008,3.0,77.37499999999999,0,3.0239999999999982,2.672999999999997,0,1.0080000000000002,0.0,0.9990000000000001,21.0,0,0,29.054999999999996,1.001,0,0,1.0010000000000001,6.0079999999999965,1.0080000000000002,0,0.0,0,2.0080000000000005,0,3.0239999999999982,26.18400000000002,1.0,10.079999999999998,0,0.0,0,0,2.0160000000000005,4.016000000000001,0.888,10.048,0,0,0,5.661000000000001,0,0,0,0,0.0,1.999,0,0,6.0079999999999965,9.0,0,9.064000000000002,22.651000000000003,46.15000000000002,19.01599999999999,18.019,127.34499999999996,13.02299999999999,16.02399999999999,0,0,29.095000000000006,0.9990000000000001,0,0.0,5.0,23.015999999999995,0.888,7.659000000000002,0,0,38.304000000000016,0,19.166000000000004,3.0239999999999982,22.031999999999986,12.999,0,0,17.00700000000001,29.0,4.665000000000001,5.012999999999999,0.333,0,10.663000000000002,6.663000000000002,0,17.319000000000006
