,project_muse_382681,humes_theory_of_the_self_revisited,pq30-0061,fshow,40232176,ContentServer.asp-3,project_muse_389389,project_muse_391081,ROCHAT-4v1,project_muse_389409,26303717,project_muse_382731,27744766,project_muse_439818,SCHIHA-3.2,3327575,2239-Article Text-2582-1-10-20140925,strawson-evident-connexion,project_muse_403836,project_muse_227867,1399612,project_muse_389490,project_muse_382726,2106947,20532746,07.0_pp_177_208_Hume_and_the_Problem_of_Personal_Identity,ContentServer.asp-2,penelhum-themes-book,thiel-early-modern-self-13-14,project_muse_388510,acprof-9780199229505-chapter-6,1173639,rocknack-imagined-causes-ch-10,project_muse_388506,project_muse_388443,2182635,project_muse_596651,2660181,ContentServer.asp-5,project_muse_383297,MURRAY-1993-Ethos,Schwerin2012_Article_HumeOnTheSelf,humes_theory_of_the_self_and_its_identity,acpq_1995_0069_0003_0485_0501&pdfname=acpq_1995_0069_0003_0091_0107,533Cottrell,project_muse_383238,ContentServer.asp-4,23598030,project_muse_228761,19333-Texto del artículo-19408-1-10-20110602,20009239,project_muse_388507,ContentServer.asp-8,Prolegomena_11_2_2012_Article_Lybaert,20708617,project_muse_38,10088-Texto del artículo-10169-1-10-20110601,1130384,project_muse_390704,ContentServer.asp-7,project_muse_383344,1173637,project_muse_553401,27902511,project_muse_385510,1173636,43155096,project_muse_365207,27745095,project_muse_388509,ContentServer.asp-6,Kail-2008-European_Journal_of_Philosophy,41441496,20126883,9780470776377.ch8,project_muse_399569,Levin2007_Article_BundlingHumeWithKripkenstein,Gilead2008_Article_AHumeanArgumentForPersonalIden,2184977,2653404-2,ipq_2004_0044_0002_0276_0278&pdfname=ipq_2004_0044_0002_0134_0136,pq21-0324,Projection and Realism in Hume s Philosophy,project_muse_383319,SIRTCO.1,Flage_et_al-1984-The_Southern_Journal_of_Philosophy,project_muse_439820,WINKLER-2010-Philosophical_Books,fzt013,project_muse_389493,24439665,31448-231447-1-PB,1173780,project_muse_382933,Projection and Realism in Hume's Philosophy coventry review,project_muse_511194,1398236,acpq_1990_0064_0002_0233_,out,pq9-0097,20131803
1.2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3060000000000001,0,0.0,0.0,0.0,0,0,0.0,0.0,8.598,0.0,0.0,0.0,0.0,0.0,0.0,1.0869999999999997,0.0,0,0.0,6.356000000000001,0.0,0.0,0.0,0.0,2.006,0.0,0,0.0,0.9990000000000001,0.0,0,0,0.0,0.0,0.0,4.5,1.0,0.0,0,0.75,0,0,1.002,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.422999999999999,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0070000000000003,0.0,0.0,0.0,0.5670000000000001,0.0,0.0,0.0,0.0,0.0,0,1.0,0,1.0,0.0,0.0,0.0,0.0,1.332,0.0,1.0,0.0,0.0,0.375,0,0.0,9.026999999999997,0.0,0.0
1.2.4,0.0,0.0,0.0,0.0,1.9989999999999997,3.0010000000000003,0.0,1.0,0.5960000000000003,0,0.0,0.0,0.0,0,0,0.0,1.0,29.895999999999997,0.0,1.0,0.0,0.0,0.0,0.0,0.25,0.0,0,0.0,2.399,0.0,0.0,0.0,0.0,0.5,0.0,0,1.0,1.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0,0,0.5,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.308,0,1.0,2.0,0.0,0.0,0.998,0.0,0,0.0,0.0,0.0,0.8810000000000001,0.0,10.499999999999998,0.0,0.0,0.0,0.0,0.0,0,2.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9990000000000001,0.0,2.5,0,0.0,2.999,0.0,0.0
1.2.5,0.0,0.0,0.9990000000000001,0.0,1.1269999999999998,3.9989999999999997,2.0,0.0,1.5,0,0.0,0.9990000000000001,0.0,0,0,0.0,0.0,18.497,0.0,0.0,0.0,0.0,2.0,0.0,0.863,0.0,0,0.9900000000000007,4.0,0.0,0.0,0.0,0.0,2.4899999999999993,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,7.997000000000001,0.0,1.0,0,0.0,0.0,0.0,0.0,9.752,0,2.0,0.0,0.0,0.0,0.0,0.0,0,6.0,2.0,0.0,0.126,0.0,5.333,0.0,0.0,0.0,1.0020000000000002,0.0,0,1.0,0,0.0,0.0,4.9990000000000006,0.0,0.0,2.997,4.9990000000000006,0.0,0.0,1.0,0.6669999999999999,0,0.0,0.0,0.0,0.0
1.2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0,0,0.0,0.0,5.001,0.0,2.998000000000001,0.0,0.0,0.0,0.0,2.1490000000000005,0.0,0,1.001,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3.8340000000000005,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,1.5010000000000001,0.0,0.0,0,1.002,0.0,0.0,1.0,4.502000000000001,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9989999999999999,0.0,0,0.0,0,0.9990000000000001,0.0,2.0010000000000003,0.0,0.0,1.9989999999999999,11.001000000000001,0.0,0.0,0.0,0.0,0,0.0,1.0,2.0,0.0
1.3.1,0.0,0.0,0.0,0.0,0.0,1.332,0.0,0.0,1.445,0,0.0,0.0,0.0,0,0,0.0,0.0,6.332000000000001,0.0,0.5,0.0,0.0,0.0,0.0,1.5929999999999997,0.0,0,0.0,1.0,0.0,0.0,0.0,1.002,0.0,0.0,0,0.0,0.0,0.333,0,0,0.0,0.0,0.0,0.0,3.0,0.0,0,0.0,0,0,0.0,0.333,0.0,0.5,0.0,0.0,0,0.0,0.333,0.0,0.0,2.17,0,0.5,1.0,0.0,0.0,0.0,0.0,0,6.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0.0,4.999,0.0,0.0,0.0,0.667,0.0,0.0,2.0,0.0,0,0.0,1.1679999999999997,0.0,0.0
1.3.2,0.0,0.0,0.0,0.0,1.0,3.6630000000000003,0.0,0.0,24.221000000000004,0,0.0,0.0,0.0,0,0,0.0,0.0,5.464000000000002,0.0,1.0,0.0,0.0,0.0,0.0,0.9990000000000001,0.0,0,0.0,0.0,0.0,1.0,0.0,20.02300000000002,1.0,0.0,0,0.0,2.0010000000000003,1.666,0,0,0.0,0.0,0.0,6.003000000000001,1.8990000000000007,0.0,0,0.0,0,0,0.0,0.666,0.0,0.0,0.0,0.0,0,0.0,1.666,0.0,0.0,3.891,0,2.0,0.0,0.0,0.0,0.0,0.0,0,2.556,1.0029999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9990000000000001,1.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.335999999999999,0.0,0.0,0.8,0.0,0,0.0,2.005999999999999,0.0,0.0
1.3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.998000000000001,0.0,0,0,0.0,0.0,3.9490000000000003,0.0,0.0,0.0,0.0,0.0,0.0,1.062,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.001,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.249,0.0,0.1,0.0,0,0.0,0,0,0.0,0.0,0.0,0.75,0.0,0.0,0,0.0,0.0,0.9990000000000001,0.0,0.04200000000000001,0,1.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.3740000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0,0.0,2.988000000000001,0.0,0.0
1.3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,2.583,0.0,0.0,0.0,0.0,0.0,0.0,0.083,0.0,0,0.0,1.333,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.861,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,1.25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.016,0,1.0,0.0,0.0,0.333,0.0,0.0,0,0.0,0.0,0.0,0.158,0.0,0.0,0.0,0.778,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.333,0.0,0.0,1.111,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
1.3.5,0.0,0.0,0.0,0.0,0.0,0.666,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,3.9979999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.514,0.0,0,0.0,0.666,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.888,0.0,0.0,1.0,0,0.0,0,0,0.0,0.0,0.0,1.666,0.0,0.0,0,0.0,0.0,0.0,0.0,0.356,0,1.0,0.0,0.0,0.666,1.0,0.0,0,0.0,0.0,0.0,0.232,0.0,0.0,0.0,1.221,0.0,0.0,0.0,0,0.0,0,0.0,0.0,2.0,0.0,0.0,0.222,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
1.3.6,0.0,0.0,0.0,0.0,0.252,3.3330000000000006,0.0,0.0,8.033,0,0.0,0.9990000000000001,0.0,0,0,0.333,0.0,13.994000000000002,0.0,0.0,0.0,0.0,1.0010000000000001,0.0,1.0279999999999998,0.0,0,0.0,0.9990000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,3.997,7.330000000000001,0.0,0.0,0,1.9910000000000003,0,0,0.501,0.9990000000000001,0.0,2.332,0.0,1.0,0,0.0,0.0,0.0,0.0,0.24000000000000007,0,0.0,0.0,0.0,0.0,1.333,1.0,0,0.0,0.0,0.0,0.7140000000000002,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1.0,0,0.0,0.0,3.838,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,2.0,0.0,0.0
1.3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3350000000000004,0,0.0,0.5810000000000001,0.0,0,0,0.666,0.0,5.496000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.084,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.666,0.0,0.0,0,0.0,0,0,1.335,0.0,0.0,0.9990000000000001,0.0,0.0,0,0.0,0.0,0.0,0.0,0.036,0,0.0,0.0,0.0,0.0,0.666,0.0,0,0.0,0.0,1.0250000000000001,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.9990000000000001,0,0.0,0.0,0.8350000000000001,0.0,0.0,0.0,1.9989999999999999,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0
1.3.8,0.0,0.0,0.0,0.0,6.039000000000001,0.9990000000000001,0.0,0.0,2.14,0,0.0,0.41500000000000004,0.0,0,0,0.0,0.0,8.413,0.0,0.0,0.9990000000000001,0.0,0.0,0.0,0.886,0.0,0,0.0,0.0,0.0,0.0,0.0,0.75,0.092,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,6.6240000000000006,0.0,0,0.0,0,0,0.666,4.998,0.0,1.002,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0829999999999997,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.649,0.7990000000000002,0.0,0.0,0.0,0.0,0.0,0.0,3.997,0,0.9990000000000001,0,0.0,0.0,1.0,0.0,0.0,1.195,0.0,2.0080000000000005,0.0,2.0,1.333,0,0.0,0.0,0.0,0.9990000000000001
1.3.9,0.0,0.0,0.0,0.0,2.623,0.0,0.5,0.0,0.0,0,0.0,2.001,0.0,0,0,0.0,0.0,13.579000000000002,1.9989999999999999,0.0,0.0,0.0,0.0,0.0,0.5439999999999999,3.0,0,0.0,1.998,0.0,0.0,0.0,3.25,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,2.375,0.0,0,0.0,0,0,0.9990000000000001,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.9990000000000001,1.0,3.114,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.32500000000000007,0.09699999999999999,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0.9990000000000001,0,0.0,0.0,2.0,0.0,0.0,0.361,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
1.3.10,0.0,0.0,0.0,0.0,1.626,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,6.663000000000001,0.0,0.0,0.0,0.0,1.0,0.0,0.9570000000000001,1.0,0,0.0,4.998,0.0,0.0,0.0,0.0,1.0590000000000002,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.9990000000000001,0.0,0.9990000000000001,0.0,0.0,0,0.0,0.0,0.9990000000000001,0.0,2.051,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.9990000000000001,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,6.993,0.0,0.0,0.666,0.0,0.0,0.0,0.0,0.9990000000000001,0,0.0,0.25199999999999995,0.0,2.9979999999999998
1.3.11,0.0,0.0,0.0,0.0,1.25,1.523,0.0,0.0,0.0,0,0.0,1.333,0.0,0,0,0.0,0.0,6.331,0.167,0.0,0.0,0.0,2.0,0.0,1.331,0.0,0,0.0,0.0,0.0,4.332,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.9980000000000002,0.0,3.09,0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.9990000000000001,0.0,0.0,0.0,0.333,0.0,0,0.333,0,0.0,0.0,2.9989999999999997,0.0,0.0,0.9990000000000001,0.0,0.0,0.0,5.0,0.0,0,0.0,0.27299999999999996,0.0,0.0
1.3.12,0.0,0.0,0.0,0.0,0.0,4.479000000000001,0.0,0.0,1.9989999999999999,0,0.0,2.665,0.0,0,0,0.0,0.0,13.660000000000002,0.8350000000000001,0.0,0.0,0.0,0.9990000000000001,0.0,3.17,0.0,0,0.0,0.0,0.0,12.660000000000002,0.0,3.9970000000000003,0.0,0.0,0,0.0,0.9990000000000001,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,4.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.093,0,1.0,0.9990000000000001,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.9990000000000001,0.0,0.0,0.666,0.0,0,1.665,0,0.0,1.999,6.0009999999999994,0.0,0.0,2.0,0.0,0.0,0.0,0.9990000000000001,1.0,0,0.0,0.5460000000000002,0.0,2.0
1.3.13,0.0,0.0,0.0,0.0,2.667,0.9990000000000001,0.0,0.0,0.019,0,0.0,0.0,0.0,0,0,0.0,0.0,12.996,2.661,0.0,0.0,0.0,2.334,0.0,1.4659999999999997,0.0,0,0.0,1.0010000000000001,0.0,1.9989999999999999,0.0,0.0,0.333,0.0,0,0.333,1.002,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.990000000000001,0,0,1.0,1.0,0.0,0.0,0.0,0.2,0,0.0,0.0,2.0,0.0,3.3730000000000007,0,0.9950000000000003,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9990000000000001,0,0.0,0,0.0,0.0,1.9980000000000002,0.0,0.0,0.0,3.3310000000000004,0.0,0.0,0.5,0.0,0,0.0,1.4819999999999984,0.0,3.0
1.3.14,0.0,0.0,0.0,0.0,0.749,0.9990000000000001,0.0,1.5,4.007000000000001,0,0.0,0.0,0.0,0,0,0.0,0.5,38.03300000000001,2.331,3.9979999999999998,0.124,0.5,1.167,0.0,4.643999999999998,2.0,0,0.0,4.37,0.0,5.5,0.0,1.624,18.521999999999988,0.0,0,2.665,0.0,0.0,0,0,0.0,0.0,2.0,24.553999999999995,2.0,5.9990000000000006,0,2.121,0,0,3.008000000000001,0.0,0.0,5.243,0.0,0.0,0,0.0,0.0,2.001,0.0,13.424000000000001,0,1.0,7.032000000000002,0.0,0.0,4.4929999999999986,0.0,0,13.0,0.0,0.0,14.743,0.0,0.0,0.0,0.5,0.5,0.0,1.999,0,0.0,0,1.0,10.998000000000001,11.016000000000002,0.0,0.0,5.332,3.165,0.0,0.624,1.5,0.0,0,0.5,5.375999999999997,0.0,0.0
